"","Request.id","Pickup.point","Driver.id","Status","Request.date","Request.time","Drop.date","Drop.time","Req_weekdays","Drop_weekdays","Req.hrs","drop.hrs","timeSlot","triptime","supply_demand"
"1",619,"Airport","1","Trip Completed","2016-07-11","11:51:00","2016-07-11","13:00:00","Mon","Mon",12,"13","Afternoon",69,"Supply City"
"2",867,"Airport","1","Trip Completed","2016-07-11","17:57:00","2016-07-11","18:47:00","Mon","Mon",18,"18","Late-evening",50,"Supply City"
"3",1807,"City","1","Trip Completed","2016-07-12","09:17:00","2016-07-12","09:58:00","Tue","Tue",10,"09","Morning",41,"Supply Airport"
"4",2532,"Airport","1","Trip Completed","2016-07-12","21:08:00","2016-07-12","22:03:00","Tue","Tue",22,"22","Late-evening",55,"Supply City"
"5",3112,"City","1","Trip Completed","2016-07-13","08:33:16","2016-07-13","09:25:47","Wed","Wed",9,"09","Morning",52.5166666666667,"Supply Airport"
"6",3879,"Airport","1","Trip Completed","2016-07-13","21:57:28","2016-07-13","22:28:59","Wed","Wed",22,"22","Late-evening",31.5166666666667,"Supply City"
"7",4270,"Airport","1","Trip Completed","2016-07-14","06:15:32","2016-07-14","07:13:15","Thu","Thu",7,"07","Morning",57.7166666666667,"Supply City"
"8",5510,"Airport","1","Trip Completed","2016-07-15","05:11:52","2016-07-15","06:07:52","Fri","Fri",6,"06","Morning",56,"Supply City"
"9",6248,"City","1","Trip Completed","2016-07-15","17:57:27","2016-07-15","18:50:51","Fri","Fri",18,"18","Late-evening",53.4,"Supply Airport"
"10",267,"City","2","Trip Completed","2016-07-11","06:46:00","2016-07-11","07:25:00","Mon","Mon",7,"07","Morning",39,"Supply Airport"
"11",1467,"Airport","2","Trip Completed","2016-07-12","05:08:00","2016-07-12","06:02:00","Tue","Tue",6,"06","Morning",54,"Supply City"
"12",1983,"City","2","Trip Completed","2016-07-12","12:30:00","2016-07-12","12:57:00","Tue","Tue",13,"12","Afternoon",27,"Supply Airport"
"13",2784,"Airport","2","Trip Completed","2016-07-13","04:49:20","2016-07-13","05:23:03","Wed","Wed",5,"05","Early Morning",33.7166666666667,"Supply City"
"14",3075,"City","2","Trip Completed","2016-07-13","08:02:53","2016-07-13","09:16:19","Wed","Wed",9,"09","Morning",73.4333333333333,"Supply Airport"
"15",3379,"City","2","Trip Completed","2016-07-13","14:23:02","2016-07-13","15:35:18","Wed","Wed",15,"15","Evening",72.2666666666667,"Supply Airport"
"16",3482,"Airport","2","Trip Completed","2016-07-13","17:23:18","2016-07-13","18:20:51","Wed","Wed",18,"18","Late-evening",57.55,"Supply City"
"17",4652,"City","2","Trip Completed","2016-07-14","12:01:02","2016-07-14","12:36:46","Thu","Thu",13,"12","Afternoon",35.7333333333333,"Supply Airport"
"18",5335,"Airport","2","Trip Completed","2016-07-14","22:24:13","2016-07-14","23:18:52","Thu","Thu",23,"23","Late-evening",54.65,"Supply City"
"19",535,"Airport","3","Trip Completed","2016-07-11","10:00:00","2016-07-11","10:31:00","Mon","Mon",11,"10","Morning",31,"Supply City"
"20",960,"Airport","3","Trip Completed","2016-07-11","18:45:00","2016-07-11","19:23:00","Mon","Mon",19,"19","Late-evening",38,"Supply City"
"21",1934,"Airport","3","Trip Completed","2016-07-12","11:17:00","2016-07-12","12:23:00","Tue","Tue",12,"12","Afternoon",66,"Supply City"
"22",2083,"Airport","3","Trip Completed","2016-07-12","15:46:00","2016-07-12","16:40:00","Tue","Tue",16,"16","Evening",54,"Supply City"
"23",2211,"Airport","3","Trip Completed","2016-07-12","18:00:00","2016-07-12","18:28:00","Tue","Tue",19,"18","Late-evening",28,"Supply City"
"24",3096,"Airport","3","Trip Completed","2016-07-13","08:17:29","2016-07-13","09:22:37","Wed","Wed",9,"09","Morning",65.1333333333333,"Supply City"
"25",3881,"Airport","3","Trip Completed","2016-07-13","21:54:18","2016-07-13","22:51:23","Wed","Wed",22,"22","Late-evening",57.0833333333333,"Supply City"
"26",5254,"City","3","Trip Completed","2016-07-14","21:23:03","2016-07-14","22:25:19","Thu","Thu",22,"22","Late-evening",62.2666666666667,"Supply Airport"
"27",5434,"City","3","Trip Completed","2016-07-15","02:41:38","2016-07-15","03:24:43","Fri","Fri",3,"03","Early Morning",43.0833333333333,"Supply Airport"
"28",5916,"City","3","Trip Completed","2016-07-15","10:00:43","2016-07-15","10:53:06","Fri","Fri",11,"10","Morning",52.3833333333333,"Supply Airport"
"29",669,"City","4","Trip Completed","2016-07-11","13:08:00","2016-07-11","13:49:00","Mon","Mon",14,"13","Afternoon",41,"Supply Airport"
"30",1567,"Airport","4","Trip Completed","2016-07-12","06:21:00","2016-07-12","07:10:00","Tue","Tue",7,"07","Morning",49,"Supply City"
"31",1826,"City","4","Trip Completed","2016-07-12","09:27:00","2016-07-12","10:27:00","Tue","Tue",10,"10","Morning",60,"Supply Airport"
